✓,Ürün,Nereden,Fiyat (¥),Gün / Şehir,Not
,Asics Gel Kayano 32,Asics Ginza (8-2-7),¥22.000,Gün 2 — Tokyo,Gait analysis
,Montbell Tri-Pack 45 (carry-on),Montbell Ginza,¥22-25K,Gün 2 — Tokyo,"45L 3-way, 1010g, eski sırt atılacak"
,Uniqlo Grafik Tişört ×2,Uniqlo Shinjuku,¥4-7K,Gün 2 — Tokyo,
,Uniqlo Basic Tişört ×2,Uniqlo Shinjuku,¥4-6K,Gün 2 — Tokyo,
,Çorap Seti,Uniqlo Shinjuku,¥5-8K,Gün 2 — Tokyo,
,"Kyukyodo (kalem, kutu, yelpaze)","Teramachi Sanjo, Kyoto",¥18-28K,Gün 4 — Kyoto,Carry-on
,Pazar malzemeleri (Toji seramik),Toji Kobo-ichi,¥5-30K,Gün 4 — Kyoto,"Kırılgan — giysilerle sar, Valiz #1"
,Shinonomesou kaiseki,Kinosaki Onsen,Dahil,Gün 6,Konaklama ile
,"Montbell (sandal, UV gömlek, bug net, eldiven, şapka)",Montbell Osaka,¥5-10K,Gün 8 — Osaka,Valiz #1
,2× UGG Ayakkabı,ABC Mart Shinsaibashi,TBD,Gün 8 — Osaka,Valiz #1
,Victoria's Secret Gloss ×3,Matsumoto Kiyoshi Osaka,¥2-6K,Gün 8 — Osaka,Valiz #1
,Shiseido Eyelash Curler,Matsumoto Kiyoshi Osaka,¥1.8-2K,Gün 8 — Osaka,Valiz #1
,Heroine Makeup Mascara,Matsumoto Kiyoshi Osaka,¥1.3-2K,Gün 8 — Osaka,Valiz #1
,Bakım — Sevgili,Matsumoto Kiyoshi / DQ,¥5-15K,Gün 8 — Osaka,Valiz #1
,Bakım — Annem + Abla,Matsumoto Kiyoshi Osaka,¥15-20K,Gün 8 — Osaka,Valiz #1
,Samsonite UPSCAPE 104L #1 (Osaka),Yodobashi Umeda,¥42-47K,Gün 8 — Osaka,Tax-free. PP siyah. Yamato → Tokyo
,Muji Shoulder Pouch (kişisel bagaj),Muji Shinsaibashi,¥1-2K,Gün 8 — Osaka,Personal item: Kaneko + Kobo + cüzdan
,Muji Çeşitli,Muji Shinsaibashi + Tokyo,¥5-12K,Gün 8+12,
,Figürler,Mandarake / Akihabara,¥10-20K,Gün 10 — Tokyo,"Keyif alışverişi, ¥35K tavan"
,PS5 Pro,Yodobashi Akihabara,¥139.980,Gün 11 — Tokyo,Tax-free. Valiz #2
,DualSense ×2,Yodobashi Akihabara,¥10-12K,Gün 11 — Tokyo,Tax-free. Valiz #2
,Sony PULSE Elite,Yodobashi Akihabara,¥17.8-18K,Gün 11 — Tokyo,Tax-free. Valiz #2
,Kobo Libra Color,Yodobashi Akihabara,¥30-40K,Gün 11 — Tokyo,Carry-on (Muji pouch)
,Samsonite UPSCAPE 104L #2 (Tokyo),Yodobashi Akihabara,¥42-47K,Gün 11 — Tokyo,Tax-free. PP siyah. Check-in
,Kappabashi Bıçak (hediye),Kappabashi-dori,¥5-15K,Gün 11 — Tokyo,Hediye. Valiz #1
,Kaneko Gözlük (teslim),Kaneko Ginza,Sipariş Gün 2,Gün 12 — Tokyo,Carry-on (Muji pouch)
,Pantolon (2-3),Shimokitazawa vintage,¥6-10K,Gün 12 — Tokyo,Valiz #2
,Japon Snack Seçkisi,Narita Duty-Free,¥5-10K,Gün 13 — Narita,Son bagaj kapasitesi
